id,c_reg,c_raj,name,name_raj,c_sti
data_ti_sprsti_631,20,15,ПIВДЕННА ОДПI ГУ ДФС У ХАРКIВ.ОБЛ.(КЕГИЧIВСЬКИЙ Р-Н),КЕГИЧIВСЬКИЙ Р-Н,2015
data_ti_sprsti_632,20,16,ПIВДЕННА ОДПI ГУ ДФС У ХАРКIВСЬКIЙ ОБЛАСТI,КРАСНОГРАДСЬКИЙ Р-Н,2016
data_ti_sprsti_633,20,17,СЛОБОЖАНСЬКА ОДПI ГУ ДФС (КРАСНОКУТСЬКЕ ВIД-НЯ),КРАСНОКУТСЬКИЙ Р-Н,2017
data_ti_sprsti_634,20,18,САЛТIВСЬКА ОДПI ГУ ДФС (КУП'ЯНСЬКИЙ Р-Н),КУП'ЯНСЬКИЙ Р-Н,2018
data_ti_sprsti_635,20,19,ЛОЗIВСЬКА ОДПI ГУ ДФС (ЛОЗIВСЬКИЙ Р-Н),ЛОЗIВСЬКИЙ Р-Н,2019
data_ti_sprsti_636,20,20,ПIВДЕННА ОДПI ГУ ДФС У ХАРКIВ.ОБЛ.(НОВОВОДОЛАЗЬКЕ ВIД),НОВОВОДОЛАЗЬКИЙ Р-Н,2020
data_ti_sprsti_637,20,21,ЛОЗIВСЬКА ОДПI ГУ ДФС (ПЕРВОМАЙСЬКИЙ Р-Н),ПЕРВОМАЙСЬКИЙ Р-Н,2021
data_ti_sprsti_638,20,22,ПIВДЕННА ОДПI ГУ ДФС У ХАРКIВ.ОБЛ.(САХНОВЩИНСЬКИЙ Р-Н),САХНОВЩИНСЬКИЙ Р-Н,2022
data_ti_sprsti_639,20,23,ХАРКIВСЬКА ОДПI ГУ ДФС У ХАРКIВСЬКIЙ ОБЛАСТI,ХАРКIВСЬКИЙ Р-Н,2023
data_ti_sprsti_640,20,24,САЛТIВСЬКА ОДПI ГУ ДФС (ШЕВЧЕНКIВСЬКИЙ Р-Н),ШЕВЧЕНКIВСЬКИЙ Р-Н,2024
data_ti_sprsti_641,20,25,IЗЮМСЬКА ОДПI ГУ ДФС (М.IЗЮМ),М.IЗЮМ,2025
data_ti_sprsti_642,20,26,САЛТIВСЬКА ОДПI ГУ ДФС У ХАРКIВСЬКIЙ ОБЛАСТI,М.КУП'ЯНСЬК,2026
data_ti_sprsti_643,20,27,ЛОЗIВСЬКА ОДПI ГУ ДФС У ХАРКIВСЬКIЙ ОБЛАСТI,М.ЛОЗОВА,2027
data_ti_sprsti_644,20,28,ЛОЗIВСЬКА ОДПI ГУ ДФС (ПЕРВОМАЙСЬКЕ ВIД-НЯ),М.ПЕРВОМАЙСЬКИЙ,2028
data_ti_sprsti_645,20,29,ХАРКIВСЬКА ОДПI ГУ ДФС У Х/О (ЧУГУЇВСЬКЕ ВIД-НЯ),М.ЧУГУЇВ,2029
data_ti_sprsti_646,20,30,ЦЕНТРАЛЬНА ОДПI М. ХАРКОВА ГУ ДФС У ХАРКIВСЬКIЙ ОБЛ.,ДЗЕРЖИНСЬКИЙ Р-Н М.ХАРКIВ,2030
data_ti_sprsti_647,20,31,КИЇВСЬКА ОДПI М.ХАРКОВА  ГУ ДФС  У ХАРКIВСЬКIЙ ОБЛАСТI,КИЇВСЬКИЙ Р-Н М.ХАРКОВА,2031
data_ti_sprsti_648,20,32,СХIДНА ОДПI М.ХАРКОВА ГУ ДФС У Х/О (КОМIНТЕРН.),КОМIНТЕРНIВСЬКИЙ Р-Н М.ХАРКIВ,2032
data_ti_sprsti_649,20,33,ЦЕНТРАЛЬНА ОДПI М. ХАРКОВА ГУ ДФС У Х/О (ЛЕНIНСЬКИЙ),ЛЕНIНСЬКИЙ Р-Н М.ХАРКIВ,2033
data_ti_sprsti_650,20,34,КИЇВСЬКА ОДПI М.ХАРКОВА  ГУ ДФС  У Х/О(МОСКОВСЬКИЙ),МОСКОВСЬКИЙ Р-Н М.ХАРКIВ,2034
data_ti_sprsti_651,20,35,ЦЕНТРАЛЬНА ОДПI М. ХАРКОВА ГУ ДФС У Х/О (ЖОВТНЕВИЙ),ЖОВТНЕВИЙ Р-Н М.ХАРКIВ,2035
data_ti_sprsti_652,20,36,СХIДНА ОДПI М.ХАРКОВА ГУ ДФС У Х/О  (ОРДЖОНIК. ),ОРДЖОНIКIДЗЕВСЬКИЙ Р-Н М.ХАРКIВ,2036
data_ti_sprsti_653,20,37,СХIДНА ОДПI М.ХАРКОВА ГУ ДФС У Х/О  (ФРУНЗЕНСЬКИЙ Р-Н),ФРУНЗЕНСЬКИЙ Р-Н М.ХАРКIВ,2037
data_ti_sprsti_654,20,38,СХIДНА ОДПI М.ХАРКОВА ГУ ДФС У Х/О,ЧЕРВОНОЗАВОДСЬКИЙ Р-Н М.ХАРКIВ,2038
data_ti_sprsti_655,20,39,СДПI ПО РОБОТI З ВПП У М.ХАРКОВI  ДПС,М.ХАРКIВ,2039
data_ti_sprsti_656,20,41,ХАРКIВСЬКА ОДПI ГУ ДФС У Х/О (ЧУГУЇВСЬКЕ ВIД-НЯ),ПЕЧЕНIЗЬКИЙ Р-Н,2041
data_ti_sprsti_657,20,42,ХАРКIВСЬКА ОДПI ГУ ДФС У Х/О (ЛЮБОТИНСЬКЕ ВIД-НЯ),М. ЛЮБОТИН,2042
data_ti_sprsti_658,20,43,ХАРКIВСЬКА ОДПI ГУ ДФС У Х/О (ЧУГУЇВСЬКЕ ВIД-НЯ),ЧУГУЇВСЬКИЙ Р-Н,2043
data_ti_sprsti_659,20,44,ПIВДЕННА ОДПI ГУ ДФС У ХАРКIВ.ОБЛ.(КОЛОМАЦЬКИЙ Р-Н),КОЛОМАЦЬКИЙ Р-Н,2044
data_ti_sprsti_660,21,1,НОВОКАХОВСЬКА ОДПI (КАХОВСЬКЕ ВIД-НЯ (М.КАХОВКА),М.КАХОВКА,2101
data_ti_sprsti_661,21,2,НОВОКАХОВСЬКА ОДПI ГУ ДФС У ХЕРСОНСЬКIЙ ОБЛАСТI,М.НОВА КАХОВКА,2102
data_ti_sprsti_662,21,3,ХЕРСОНСЬКА ОДПI ГУ ДФС У ХЕРСОНСЬКIЙ ОБЛАСТI,М. ХЕРСОН,2103
data_ti_sprsti_663,21,4,ХЕРСОНСЬКА ОДПI ГУ ДФС (БIЛОЗЕРСЬКЕ ВIДДIЛЕННЯ),БIЛОЗЕРСЬКИЙ Р-Н,2104
data_ti_sprsti_664,21,5,НОВОКАХОВСЬКА ОДПI (БЕРИСЛАВСЬКЕ ВIД-НЯ),БЕРИСЛАВСЬКИЙ Р-Н,2105
data_ti_sprsti_665,21,6,НОВОКАХОВСЬКА ОДПI (ВЕЛИКООЛЕКСАНДРIВСЬКЕ ВIД-НЯ),ВЕЛИКООЛЕКСАНДРIВСЬКИЙ Р-Н,2106
data_ti_sprsti_666,21,7,НОВОКАХОВСЬКА ОДПI (ВЕЛИКОЛЕПЕТИСЬКЕ ВIД-НЯ),ВЕЛИКОЛЕПЕТИСЬКИЙ Р-Н,2107
data_ti_sprsti_667,21,8,НОВОКАХОВСЬКА ОДПI (ВЕРХНЬОРОГАЧИЦЬКЕ ВIД-НЯ),ВЕРХНЬОРОГАЧИЦЬКИЙ Р-Н,2108
data_ti_sprsti_668,21,9,НОВОКАХОВСЬКА ОДПI (ВИСОКОПIЛЬСЬКЕ ВIД-НЯ),ВИСОКОПIЛЬСЬКИЙ Р-Н,2109
data_ti_sprsti_669,21,10,ГЕНIЧЕСЬКА ОДПI ГУ ДФС У ХЕРСОНСЬКIЙ ОБЛАСТI,ГЕНIЧЕСЬКИЙ Р-Н,2110
data_ti_sprsti_670,21,11,ХЕРСОНСЬКА ОДПI ГУ ДФС (ГОЛОПРИСТАНСЬКЕ ВIДДIЛЕННЯ),ГОЛОПРИСТАНСЬКИЙ Р-Н,2111
data_ti_sprsti_671,21,12,НОВОКАХОВСЬКА ОДПI (ГОРНОСТАЇВСЬКЕ ВIД-НЯ),ГОРНОСТАЇВСЬКИЙ Р-Н,2112
data_ti_sprsti_672,21,13,ГЕНIЧЕСЬКА ОДПI ГУ ДФС (IВАНIВСЬКЕ ВIД-НЯ),IВАНIВСЬКИЙ Р-Н,2113
data_ti_sprsti_673,21,14,ХЕРСОНСЬКА ОДПI ГУ ДФС (КАЛАНЧАЦЬКЕ ВIДIЛЕННЯ),КАЛАНЧАЦЬКИЙ Р-Н,2114
