"id","parent_id/id","main_name","name","description","excise_code"
"l10n_ua_product_classification.product_classification_79644","l10n_ua_product_classification.product_classification_79604","","01069000","інші:",""
"l10n_ua_product_classification.product_classification_79645","l10n_ua_product_classification.product_classification_79644","","0106900010","для  зоопарків",""
"l10n_ua_product_classification.product_classification_79646","l10n_ua_product_classification.product_classification_79644","","0106900090","інші",""
"l10n_ua_product_classification.classification_2","","М’ясо  та  їстівні  субпродукти","02","М’ясо  та  їстівні  субпродукти",""
"l10n_ua_product_classification.product_classification_79648","l10n_ua_product_classification.classification_2","","0201","М’ясо  великої  рогатої  худоби,  свіже  або  охолоджене:",""
"l10n_ua_product_classification.product_classification_79649","l10n_ua_product_classification.product_classification_79648","","0201100000","туші  та  половини  туш",""
"l10n_ua_product_classification.product_classification_79650","l10n_ua_product_classification.product_classification_79648","","020120","інші  відруби,  необвалені:",""
"l10n_ua_product_classification.product_classification_79651","l10n_ua_product_classification.product_classification_79650","","0201202000","компенсовані  четвертини",""
"l10n_ua_product_classification.product_classification_79652","l10n_ua_product_classification.product_classification_79650","","0201203000","нерозділені  або  розділені  передні  четвертини",""
"l10n_ua_product_classification.product_classification_79653","l10n_ua_product_classification.product_classification_79650","","0201205000","нерозділені  або  розділені  задні  четвертини",""
"l10n_ua_product_classification.product_classification_79654","l10n_ua_product_classification.product_classification_79650","","0201209000","інші",""
"l10n_ua_product_classification.product_classification_79655","l10n_ua_product_classification.product_classification_79648","","0201300000","обвалені",""
"l10n_ua_product_classification.product_classification_79656","l10n_ua_product_classification.classification_2","","0202","М’ясо  великої  рогатої  худоби,  морожене:",""
"l10n_ua_product_classification.product_classification_79657","l10n_ua_product_classification.product_classification_79656","","020210","туші  та  половини  туш",""
"l10n_ua_product_classification.product_classification_79658","l10n_ua_product_classification.product_classification_79656","","020220","інші  відруби,  необвалені:",""
"l10n_ua_product_classification.product_classification_79659","l10n_ua_product_classification.product_classification_79658","","0202201000","компенсовані  четвертини",""
"l10n_ua_product_classification.product_classification_79660","l10n_ua_product_classification.product_classification_79658","","0202203000","нерозділені  або  розділені  передні  четвертини",""
"l10n_ua_product_classification.product_classification_79661","l10n_ua_product_classification.product_classification_79658","","0202205000","нерозділені  або  розділені  задні  четвертини",""
"l10n_ua_product_classification.product_classification_79662","l10n_ua_product_classification.product_classification_79658","","0202209000","інші",""
"l10n_ua_product_classification.product_classification_79663","l10n_ua_product_classification.product_classification_79656","","020230","обвалені:",""
"l10n_ua_product_classification.product_classification_79664","l10n_ua_product_classification.product_classification_79663","","0202301000","передні  четвертини,  цілі  або  розрубані  як  максимум  на  п’ять  частин,  кожна  четвертина  може  бути  лише  в  одному  блоці;  компенсовані  четвертини    у  двох  блоках,  при  цьому  один  з  передніми  четвертинами,  цілими  або  розрубаними  щонайбільше  на  п’ять  частин,  а  другий  з  її  задніми  четвертинами,  за  винятком  філе,  одним  шматком",""
"l10n_ua_product_classification.product_classification_79665","l10n_ua_product_classification.product_classification_79663","","0202305000","лопатка,  шийнолопаткова  частина  та  грудинка",""
"l10n_ua_product_classification.product_classification_79666","l10n_ua_product_classification.product_classification_79663","","0202309000","інші",""
"l10n_ua_product_classification.product_classification_79667","l10n_ua_product_classification.classification_2","","0203","Свинина,  свіжа,  охолоджена  або  морожена:",""
"l10n_ua_product_classification.product_classification_79668","l10n_ua_product_classification.product_classification_79667","","","морожена:",""
"l10n_ua_product_classification.product_classification_79669","l10n_ua_product_classification.product_classification_79668","","020321","туші  та  половини  туш:",""
"l10n_ua_product_classification.product_classification_79670","l10n_ua_product_classification.product_classification_79669","","0203211000","свійських  свиней",""
"l10n_ua_product_classification.product_classification_79671","l10n_ua_product_classification.product_classification_79669","","0203219000","інші",""
"l10n_ua_product_classification.product_classification_79672","l10n_ua_product_classification.product_classification_79668","","020322","окости,  лопатки  та  їх  відруби,  необвалені:",""
"l10n_ua_product_classification.product_classification_79673","l10n_ua_product_classification.product_classification_79672","","","свійських  свиней:",""
"l10n_ua_product_classification.product_classification_79674","l10n_ua_product_classification.product_classification_79673","","0203221100","окости  та  їх  відруби",""
"l10n_ua_product_classification.product_classification_79675","l10n_ua_product_classification.product_classification_79673","","0203221900","лопатки  та  їх  відруби",""
"l10n_ua_product_classification.product_classification_79676","l10n_ua_product_classification.product_classification_79672","","0203229000","інші",""
"l10n_ua_product_classification.product_classification_79677","l10n_ua_product_classification.product_classification_79668","","020329","інша:",""
"l10n_ua_product_classification.product_classification_79678","l10n_ua_product_classification.product_classification_79677","","","свійських  свиней:",""
"l10n_ua_product_classification.product_classification_79679","l10n_ua_product_classification.product_classification_79678","","","інші:",""
"l10n_ua_product_classification.product_classification_79680","l10n_ua_product_classification.product_classification_79679","","0203295500","обвалені",""
"l10n_ua_product_classification.product_classification_79681","l10n_ua_product_classification.product_classification_79679","","0203295900","інші",""
"l10n_ua_product_classification.product_classification_79682","l10n_ua_product_classification.product_classification_79678","","0203291100","передній  край  та  його  відруби",""
"l10n_ua_product_classification.product_classification_79683","l10n_ua_product_classification.product_classification_79678","","0203291300","корейка  та  її  відруби,  необвалені",""
"l10n_ua_product_classification.product_classification_79684","l10n_ua_product_classification.product_classification_79678","","0203291500","грудинка  з  прошарком  сала  та  її  відруби",""
"l10n_ua_product_classification.product_classification_79685","l10n_ua_product_classification.product_classification_79677","","0203299000","інша",""
"l10n_ua_product_classification.product_classification_79686","l10n_ua_product_classification.product_classification_79667","","","свіжа  або  охолоджена:",""
"l10n_ua_product_classification.product_classification_79687","l10n_ua_product_classification.product_classification_79686","","020311","туші  та  половини  туш:",""
"l10n_ua_product_classification.product_classification_79688","l10n_ua_product_classification.product_classification_79687","","0203111000","свійських  свиней",""
"l10n_ua_product_classification.product_classification_79689","l10n_ua_product_classification.product_classification_79687","","0203119000","інші",""
"l10n_ua_product_classification.product_classification_79690","l10n_ua_product_classification.product_classification_79686","","020312","окости,  лопатки  та  їх  відруби,  необвалені:",""
"l10n_ua_product_classification.product_classification_79691","l10n_ua_product_classification.product_classification_79690","","","свійських  свиней:",""
"l10n_ua_product_classification.product_classification_79692","l10n_ua_product_classification.product_classification_79691","","0203121100","окости  та  їх  відруби",""
"l10n_ua_product_classification.product_classification_79693","l10n_ua_product_classification.product_classification_79691","","0203121900","лопатки  та  їх  відруби",""
"l10n_ua_product_classification.product_classification_79694","l10n_ua_product_classification.product_classification_79690","","0203129000","інші",""
"l10n_ua_product_classification.product_classification_79695","l10n_ua_product_classification.product_classification_79686","","020319","інша:",""
"l10n_ua_product_classification.product_classification_79696","l10n_ua_product_classification.product_classification_79695","","","свійських  свиней:",""
"l10n_ua_product_classification.product_classification_79697","l10n_ua_product_classification.product_classification_79696","","","інші:",""
